str_no_string|,
str_npc12_home_description|Տէր բերդին Ալմեռայի տառապէր ի ջրգողութենէ: Բերել ետ բժիշկ յՈւքսխալէ: Նա, որպէս ամենայն բժիշկք կրթեալք ի համալսարանի՝ խնդրեաց զօգնութիւն ի Գաղենիանոսէ: Գաղենիանոս ասէ թէ ոսկեջուրն է բարի վասն ջրգողութեան: Ի հին ժամանակս կայսրութեան Կալրադիոյ բանք Գաղենիանոսի արդէն կորուսեալ էին զզօրութիւն իւրեանց: Այժմ են նոքա առաւել անպիտանք, բայց երբեմն դիպուածով ախտորոշումն լինի ստոյգ: Ոսկեջուրն յիրաւի օգտէ ի փոքր չափաբաժնի: Բայց զոր սպասաւորքն Գաղենիանոսի չեւ հասկանան՝ այն է զի ի մեծ չափաբաժնի ոսկեջուրն դառնայ ի թոյն:
str_npc13_home_description|Պարտ էր ինձ գալ աստ ընդ սակաւ զօրու Սուադիոյ, բայց յանտառի Ռոդոկք յարձակեցան եւ կոտորեցին զայրուձին ի մէջ ծառոց: Ես փախեայ եւ գտի ապաստան ի ծովափն, ի գիրկս գեղեցիկ հովուի զոր տեսի երբեք: Նա տարաւ զիս ի քարայր մի բարձունս, բերէր ինձ պանիր եւ մորի, եւ պատմէր զլուրս հովտին: Ասեն թէ լիճն է դուռն ի ստորերկրեայ աշխարհն, եւ երբեմն տեսանես զծուխ ելանել ի ջրոյն: Ո՜րքան կոպիտ են!
str_npc14_home_description|Ասեմ «փորձել» զի կարծեմ թէ Վայեգիրք ոչ կարեն լինել կարգապահք: Են լաւագոյն աղեղնաւորք եւ բարի հեծեալք, բայց ոչ կարեն պատերազմել ի կարգի: Շնորհք նոցա օգտեն ընդդէմ Խերգիթաց եւ Նորդից, մանաւանդ յորժամ թաքչին յետոյ պարսպի: Բայց աղեղն Սարրանեանց է զօրաւոր, եւ տեսի թէ զիարդ ասպետք Սուադիոյ հատանեն զշարս Վայեգիրաց որպէս ածելի: Արդ, վասն արգելուլոյ զՍուադիացիս՝ հնարեցաւ նիզակապատն Ռոդոկաց, որ յաճախ յաջողի:
str_npc15_home_description|Որպէս բազում բերդք աստ՝ հիմունք սորա են ի հին Կայսրութենէ Կալրադիոյ: Յետ բազում նորոգութեանց ոչ կարես տեսանել զնոսա, բայց չափք քարիցն են որպէս զտուն: Յայնժամ պարտ էր լինել կախարդաց, զի ոչ գիտեմ թէ զիարդ կարացին շարժել զայդոսիկ: Է բարի դիրք - Կուլմարր կայ առաջի անցիցն Կալրադիոյ:
str_npc16_home_description|Յայս հովիտս ձիւնն ոչ հալի մինչեւ ի կէս յաջորդ եղանակի, եւ վարել զհողն է տաժանելի: Կարես մշակել սակաւ ինչ գարի, եւ ոչինչ այլ: Բայց յանտառս է ճոխութիւն - եղջերուք, ճագարք եւ լուսանունք, միս եւ մորթիք: Նաեւ ի լերինս գոյ երկաթ, եւ վաճառականք բերեն ի գետոց զձուկն աղի զի կերակրեսցեն զմարդիկ բովանդակ ձմեռն:
str_npc1_home_description_2|Ընդ մեզ՝ հին Կալրադացւոցս, վարին թեթեւ, նաեւ ի ժողովելն զհարկս - այլապէս ոչ կարէաք վճարել: Հողն ոչ է բարեբեր վասն բազում ինչ: Կարեմ ասել թէ միայն վասն սնուցանելոյ զձիս է պիտանի, այն եւս կէս տարի, յետ անձրեւաց ձմերան: Յամառն հօտքն դառնան ի լերինս: Կարաւանք անցանեն ընդ բլուրս եւ բերեն համեմս ի Տուլգա, բայց ի գեւղս ոչ տեսանեմք զայդ արծաթ:
str_npc2_home_description_2|Բեռնեցի քրքում, կինամոն, մեխակ, պղպեղ, այլ համեմս եւ արկղ մի լի արծաթով: Ըստ հաշուոց իմոց՝ յորժամ գնեցից քթան, մորթիս, դիպակս, երկաթ, բուրդ եւ ձիս վասն փոխադրութեան՝ շահեցայց բազում ինչ: Բայց զԽերգիթս ոչ հաշուեցի:
str_npc3_home_description_2|Բանաստեղծք կոչեն զՎելուկա դրախտ, եւ կարծեմ թէ ոչ չափազանցեն:
str_npc4_home_description_2|Հարցանե՞ս թէ զիարդ գիտեմ զայդ: Ըմբռնեցայ ի նոցանէ եւ պահեցայ վասն փրկագնի, բայց փախեայ: Այսքան է զոր կարեմ պատմել:
str_npc5_home_description_2|Անշուշտ, գիտես թէ զիարդ վարին գործք: Սերունդ հօր իմոյ էին խիստ պատերազմողք, եկեալք ի ցուրտ աշխարհաց յայնկոյս լերանց: Բայց այժմեան սերունդն ամենեքեան ունին տուն ի քաղաքի եւ նոյնքան ժամանակ տան վաճառականութեան որքան կրթութեան աղեղնաւորութեան: Յաջորդ սերունդն յոյժ կակղեսցի ի գինւոյն Վելուկոյ եւ կորուսցէ զհողս իւր յառաջին իսկ ալեաց տգէտ եւ կոպիտ աւազակաց, որք գայցեն ի լերանց: Տեսցես: Այսպէս վարեցան գործք եւ այսպէս վարեսցին:
str_npc6_home_description_2|Մեք Սունոյացիքս երբեք ոչ մոռանամք զանարգանս եւ խնդրեմք զվրէժ անիրաւութեան արարելոյ ընդ մեզ: Պարտ է ինձ ասել զի հին պատիւն Կալրադիոյ արար զիս այսպիսի: Այսու հանդերձ, հպարտ եմ զի եմ ծնունդ այսր տեղւոջ: Տէր մեր է վասալ թագաւորին Սուադիոյ որ է ի Պրաւեն, բայց եթէ հարցանես մեզ՝ նա եւս է բարբարոս առաջնորդ ցեղի: Իսկ մեք եմք ճշմարիտ ժառանգորդք կայսրութեան:
str_npc7_home_description_2|Կարէաք որսալ ձուկն ի գետի, սնուցանել խոզս մերձ ի եղեգնուտս եւ մշակել զինչ եւ կամէաք ի հողս մեր, բայց ի բաց դաշտս կարէաք մշակել միայն զքթանախոտ զի տարցուք ի Սարգոթ վասն գործելոյ: Այսինքն՝ էաք միշտ սովալլուկ, տկար եւ յոյժ երկչոտ վասն ապստամբութեան:
str_npc8_home_description_2|Պատմութիւնք վիպասանաց գոնէ տուին Գունդիգայ պատճառ ժողովելոյ զբանակ: Թէպէտ Նորդք յայսպիսի դէպս ոչ յոյժ կարօտին պատճառի: Անցեալ ընդ ծով՝ ժողովեաց զՆորդս Կալրադիոյ ընդ դրօշաւ իւրով եւ չուեաց ի Ժայռն Ռիվաչեգայ: Վայեգիրք սպանին զնա եւ ընկեցին զդրօշ նորա յալիս ծովու: Բայց Նորդք շարունակեն գալ եւ միում յաւուրց Կալրադիա լիցի մեր:
str_npc9_home_description_2|Որպէս Նորդք կարեն կոչել զազգակիցս իւրեանց յայնկոյս ծովու, նոյնպէս եւ թագաւորն Վայեգիրաց կարէ կոչել զազգակիցս իւր յայնկոյս լերանց: Եթէ հայր իմ չէր զրկեալ զիս ի ժառանգութենէ՝ երդնուի հաւատարմութիւն տեառն Ռեյվադինայ: Յորժամ ժառանգութիւնն իմ յափշտակեցաւ՝ պարտք իմ եւս լուծան, եւ այս է կորուստ թագաւորին Վայեգիրաց:
str_npc10_home_description_2|Վասն մետաքսի սնուցանեմք զթթենիս եւ վասն ներկի՝ զորդան կարմիր: Տանեմք զայդոսիկ ի Յելկալա եւ անդ ստանամք զլաւագոյն դիպակն - մի՛ կարծեր թէ ոչ ունիմ արծաթ գնելոյ վասն իմ զդիպակ: Բայց վարպետքն Յելկալայ նաեւ գործեն զյոյժ բարի աղեղնաւոր մեքենայս:
str_npc11_home_description_2|Թագաւորն Սուադիոյ ասասցէ քեզ թէ Պրաւեն էր մեծագոյն քաղաք Կալրադիոյ յորժամ էր այն ընդ լծով կայսրութեան, եւ այս է նշան զի պարտ է նմա տիրել բովանդակ աշխարհի: Մի՛ սխալիր, ոչինչ փոյթ է ինձ վասն քաղաքականութեան, {տէր/տիկին} - վաճառեցի պաշար ամենայն բանակաց որք շրջեցան ի Կալրադիա, բայց ասացից քեզ՝ յառաջ քան զզգալն իմ զջերմութիւն արծաթոյ ի ձեռին իմում՝ ոչ տուի նոցա նոյնիսկ զչոր հաց! Ոչ գիտեմ թէ ընդէր այս հզօր եւ մեծ թագաւորք եւ ազնուականք ոչ վճարեն զպարտս իւրեանց: Յոյժ շատախօսեցայ, այնպէս չէ՞?
str_npc12_home_description_2|Տարբերութիւնն ի մէջ թունի եւ դեղոյ է չափաբաժինն: Ասա՛ զայս ամենեցուն զորս տեսանես, եւ ասա՛ թէ ուսար զայս ի Մեծ Վարպետէն Յերեմիայ: Մարդիկ խորհին թէ ամենայն գիտութիւն արժանի գիտելոյ արդէն գրեալ է ի հին լեզուն Կալրադիոյ: Բայց ես ասեմ քեզ՝ ի զգոյշ դիտարկմանէ բնութեան եւ նոյնիսկ ի կանանց գեւղից կարես ստանալ կրկնապատիկ առաւել գիտութիւն քան յամենայն հին մատենից կայսրութեան: Վասն այսր արտաքսեցին զիս ի համալսարանէն, որ եւ եղեւ բարի ինձ: Արդ, բժշկեցի զայն լորդ եւ նա ետ ինձ քսակ մի լի ոսկւով եւ զմարմին մի կախելոյ զի քննեցից զայն: Հա՛հ! Խորհիմ վասն այնչափ տագնապաց զորս կրեցի յառաջագոյն վասն փոքրիկ օրինակի միոյ...
str_npc13_home_description_2|Ի վերջոյ պարտ եղեւ ինձ մեկնել, բայց երբեմն խորհիմ թէ արդեօք յորժամ հանէ զստացուածսն ի մարգագետինս՝ ունի՞ զմանուկ մի կապեալ ի թիկունս իւր: Կամիմ դառնալ եւ գտանել զայն օրիորդ - բայց ո՛չ, ո՛չ: Ոչ ոք պարտի ապրել զկեանս իւր դէպ ի յետս:
str_npc14_home_description_2|Եթէ ոք ելանէր որ կարացեալ էր միաւորել զայս աշխարհ՝ ծառայէի նմա առանց վարձու: Կարգէի զաղեղնաւորս Ռոդոկաց եւ զհետեւակս Նորդից ի թեւս, եւ զաղեղնաւորս Վայեգիրաց ի յառաջամարտ, իսկ Խերգիթ պահապանաւք գտեալ զտեղի թշնամւոյ՝ լցուցանէի զբանակն ասպետօք Սուադիոյ եւ մամլուքօք Սարրանեանց: Այսու բանակաւ անցեալ ընդ լերինս՝ խոնարհեցուցանէի զբովանդակ աշխարհ առաջի Կալրադիոյ... Անշուշտ այս էր խորհուրդ կայսերաց, բայց ի վերջոյ ցեղքն յափշտակեցին զկայսրութիւն ի ձեռաց նոցա:
str_npc15_home_description_2|Գոյ եւ այլ ինչ զուարճալի - յորժամ Ռոդոկք ապստամբեցան յառաջին նուագի ընդդէմ Սուադիացւոց՝ ասէին թէ երբեք ոչ կամին ունել լորդս ի վերայ իւրեանց: Կարես գուշակել թէ որքան տեւեաց այդ: Առաջնորդ մի ցեղի Ռոդոկաց չուեաց ի Կուլմարր եւ յայտարարեաց զինքն «Կոմս», եւ ապա ամենայն քաղաքացիք Յելկալայ եւ Վելուկոյ անկան առաջի նորա զի վաճառեսցեն զապրանս իւրեանց արտաքոյ Կալրադիոյ: Անշուշտ պէտք է թագաւոր զի սանձեսցէ զկոմսս եւ արգելցէ զմշակս վաճառել զստացուածս իւրեանց ազատօրէն, այնպէս չէ՞? Որքան եւ կամիցին Ռոդոկք խօսել վասն «ազատութեան» եւ «անկախութեան», նոքա եւս ոչ են այլազգի քան զայլս:
