dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_lord_talk:lord_message_delivered_enemy|{s9} փոխանցէ ձեզ պատգամ:
dlga_lord_message_delivered_enemy:close_window|Իրապէ՞ս? Թոյլ տո՛ւք տեսանել... Հըմ... Բարւոք է, զի դուք մատուցէք ինձ զայն, {playername}. Առէ՛ք զիմ կնիք որպէս ապացոյց, զի ես ընկալայ զայն, ընդ իմում երախտագիտութեամբ:
dlga_lord_talk:lord_deliver_message_prisoner|{s11} փոխանցէ ձեզ պատգամ:
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Իրապէ՞ս?! Օ՜, շնորհակալ եմ ձեզ, {playername}! Դուք բերէք փոքրիկ նշոյլ յուսոյ յայսոսիկ տրտում պարիսպս: Թերեւս, միում նուագ ես կարացից վարձատրել զձեզ...
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a|Այս է նուազագոյնն, զոր ես կարացի առնել, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|Իմ երախտագիտութիւնն ոչ կարելի է արտայայտել բանիւք, {playername}. Շնորհակալ եմ, շնորհակալ եմ!
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Մի՛ հոգաք, {s65}. Դուք տակաւին ունիցիք հնարաւորութիւն վարձատրել զիս, յորժամ լիցիք յազատութեան:
dlga_lord_deliver_message_prisoner_2b:close_window|Ա՜հ, անշուշտ, {playername}. Իմ երախտագիտութիւնն մնասցէ ընդ ձեզ յաւիտեան:
dlga_lord_talk:lord_rescue_by_replace_offer|Մի՛ երկնչիք, ես աստ եմ, զի փրկեցից զձեզ:
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|Աստուա՛ծ իմ, դուք լո՞ւրջ էք: Ունի՞ք արդէն ծրագիր?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|Պարզագոյն հնարք, {s65}. Եթէ մեք փոխեսցուք զհանդերձս, ես կալայց զձեր տեղի աստ, ի բանտի, իսկ դուք փախիցէք իմով զգեստով: Պահապանքն ընկալան յինէն զգալի գումար, այնպէս որ, խորհիմ, նոքա արդէն գնեցին զկէս գինւոյ պաշարաց ի մերձակայ պանդոկի: Անշուշտ նոքա շուտով արբեսցին այնպէս, զի զիւրեանց իսկ մայրս ոչ ճանաչեսցեն, ոչ թէ զմեզ: Այնպէս որ ժամանակ ելանելոյ աստի ձեզ լիցի բաւականաչափ:
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Հըմ, թերեւս, այս եւ յաջողեսցի... Բայց ի՞նչ լիցի ընդ ձեզ, {reg59?սիրելի՛դ իմ:բարեկա՛մ իմ}? Հազիւ թէ պահապանաց հաճոյ լիցի այս հնարք: Յանկարծ նոքա ընդ ձեզ ինչ-որ բան առնիցեն?!
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Պարտ ոչ է հոգալ, {s65}. Ես արդէն սկսանիմ ընտելանալ այսմ վայրի:
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|Մինչդեռ ես յիշեմ վասն խոստացեալ պարգեւի, ընդ իս ամենայն ինչ լիցի բարւոք:
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|Դուք ունիք քաջ հոգի: Ես ոչ մոռացայց զձեր արարքն:
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Անշո՛ւշտ, {reg59?սիրուն օրիորդ:բարեկա՛մ իմ}, անշո՛ւշտ! Եկայք առ իս, որչափ միայն ազատեսջիք, եւ, ամենայն հաւանականութեամբ, ես կարացից հատուցանել ձեզ բարութեամբ վասն բարութեան:
dlga_lord_rescue_by_replace_offer_6:close_window|Փութացէ՛ք, {s65}, եկայք փոխեսցուք զհանդերձս: Ձեզ վաղուց ժամ է անյայտ լինել աստի:
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, ես կամէի, զի {s4} դարձեալ ընկալցի զիմ երդումն:
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|Երկնչիմ, յայսմ ես ձեզ աւգնական ոչ եմ, {playername}. Սոսկ {s4} ինքնին կարէ որոշել, թէ զի՞նչ առնել ընդ ձեզ:
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|Որպէս եւ կամիք, {s65}. Ես ընկալայց զամենայն ձեր որոշումն:
dlga_lord_ask_pardon_terms:lord_pretalk.1|Ցաւալի է, {s65}. Ցաւալի:
dlga_lord_ask_pardon_terms:lord_pretalk.2|Յոյժ բարի, երթայք եւ մեռարո՛ւք առանց իմ:
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Այո՛, ես եմ ի ծառայութեան ձերում:
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|Յետ խորհրդածութեան, ես մերժեմ: Ես այլեւս ոչ կամիմ ծառայել ձեզ:
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Այո՛, այս պայմանք հաճոյ են ինձ:
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|Գինն յոյժ բարձր է, {s65}. Ինձ հարկ է մերժել:
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Սքանչելի է: Չնայելով ձերոյ մատնութեան, {playername}, մեր սիրտք ուրախ լինին, զի դուք դարձայք ի շաւիղն ճշմարտութեան: Արդ ընկալնում զձեր երդումն: Յարիցէ՛ք դարձեալ որպէս ազնիւ մարտիկ յիմում ծառայութեան:
dlga_lord_ask_pardon_terms_rejected:close_window|Յայնժամ հեռացարո՛ւք յիմոց աչաց, անպիտան ծնունդ! Ի բաց երթայք աստի, եւ երբեք մի՛ դառնայք!
dlga_lord_talk:lord_ask_pardon|Ես կամէի կնքել խաղաղութիւն ընդ {s4}.
dlga_lord_ask_pardon:lord_pretalk|Լո՞ւրջ էք դուք, {playername}?^Յայնժամ երթայք եւ ձերով սրով վաստակեցէ՛ք խաղաղութիւն վասն ամենեցուն մեր!
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, դուք էք {reg59?հպատակ:հպատակ} առանց տեառն, դուք իշխէք յանուն ձեր, ոչ լեալ հաւատարիմ հպատակ որեւէ պետութեան: Մինչեւ այս կացութիւն ոչ փոխեսցի, ոչ մի իշխող ի հիւսիսային հողս ոչ համաձայնեսցի կնքել ընդ ձեզ տեւական խաղաղութիւն:
dlga_lord_ask_pardon:lord_pretalk.2|Կնքել խաղաղութիւն, յորժամ ես ունիմ այսպիսի առաւելութիւն? Ոչ է բարի խորհուրդ:
dlga_lord_ask_pardon:lord_pretalk.3|Ոչ խորհիմ, թէ յիմում շահու է երթալ ի հաշտութիւն:
dlga_lord_ask_pardon:lord_truce_offer|Բարի... Ինձ արդէն ձանձրացոյց մարտնչելն ընդ ձեզ: Կարեմ առաջարկել զզինադադար վասն քառասուն աւուրց: Եթէ դուք պահեսջիք զձեր բանն եւ ոչ ասպատակեսջիք զիմ հողս եւ զհպատակս, ապա կարելի լիցի եւ վասն խաղաղութեան խօսել...
dlga_lord_truce_offer:close_window|Ես ընդունիմ զձեր առաջարկութիւն: Եկայք թօթափեսցուք զծանր բեռն պատերազմի, գոնէ վասն առ ժամանակի միոյ:
dlga_lord_truce_offer:lord_pretalk|Եթէ խորհեցայց, ընկալնուլ զայսպիսի որոշումն ոչ է յիմում շահու:
dlga_lord_ask_pardon:lord_ask_pardon_2|Հըմ: Ես կարէի օգտագործել զիմ ազդեցութիւն, զի միջնորդեսցուցից վասն ձերոյ ներման, {playername}, բայց գոն մարդիկ, որք համարեն զձեզ թշնամի: Նոքա ոչ լիցին գոհք, մինչեւ դուք ոչ վճարեսջիք զտուրքս: Ձեզ պարտ է բերել ոչ պակաս քան {reg16} ոսկւոյ, զի վաստակեսջիք գոնէ քանի մի բարեկամս ի {s4}.
dlga_lord_ask_pardon:lord_pretalk.4|Ես ոչ ունիմ իրաւունքս ինչ առաջարկելոյ: Դուք պարտիք խօսիլ ընդ {s7}.
dlga_lord_ask_pardon:lord_ask_pardon_2.1|Այո՛... Ես ունիմ առաւել կարեւոր հոգս քան զձեզ կամ զձեր հետեւորդս: Սակայն, դուք վիրաւորեցէք զիմ հպատակս, եւ անարդարութիւնն պահանջէ զհատուցումն ի {reg16} ոսկւոյ: Ես ենթադրեմ, զի կարէի համաձայնիլ ներել ձեզ: Զի՞նչ ասէք այսմ?
dlga_lord_ask_pardon:lord_pretalk.5|Ցաւիմ, բայց ես ոչ ունիմ ոսկի, զի վճարեցից ձեզ վասն ներման!
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_accept|Ես ունիմ զայսպիսի դրամս: {reg16} ոսկւոյ:
dlga_lord_ask_pardon_2:lord_ask_pardon_tribue_deny|Երկնչիմ, զայսպիսի գումար ես վճարել ոչ կարեմ:
dlga_lord_ask_pardon_tribue_accept:close_window|Սքանչելի է, {playername}. Ես օգտագործեցից զայս դրամս, զի մեղմացուցից զբարկութիւն ձերոց չարակամաց: Հաստատուն եմ, շուտով տարածեսցի համբաւ, թէ {s4} այլեւս ոչ համարէ զձեզ թշնամի:
dlga_lord_ask_pardon_tribue_accept:close_window.1|Յոյժ բարի, {playername}. Ես օգտագործեցից զդրամսն, զի համոզեցից զայնոսիկ, որք կարեն ընդդիմաբանել վասն ձերոյ ներման: Եւ ես հաստատուն եմ, զի շուտով յայտնի լիցի, թէ դուք այլեւս ոչ էք թշնամի {s4}.
dlga_lord_ask_pardon_tribue_deny:lord_pretalk|Յայնժամ ես ոչինչ կարեմ առնել վասն ձեր, {playername}. Չիք ոսկի – չիք ներումն:
dlga_lord_talk:lord_active_mission_1|Ինչ վերաբերի առաջադրանքին, զոր դուք տուէք ինձ...
dlga_lord_talk:lord_switch_to_spouse|Եկայք խորհեսցուք վասն հարցից, կապուածոց ընդ մերոյ տան:
dlga_lord_switch_to_spouse:lord_pretalk|Եկայք սպասեսցուք, մինչեւ մեք ոչ լիցուք ի դահլիճի, կի՛ն իմ, զի դժուար է զբաղիլ կենցաղային բեռամբ յայսպիսի պայմանս:
dlga_lord_switch_to_spouse:spouse_talk|Անշո՛ւշտ, կի՛ն իմ:
dlga_lord_talk:lord_request_mission_ask|Ունի՞ք արդեւք վասն իմ առաջադրանքս?
dlga_lord_talk:combined_political_quests|Խորհի՞ք, թէ մեք կարեմք աւգնել միմեանց ամրապնդիլ յայսոսիկ հողս?
dlga_combined_political_quests:lord_pretalk|Երկմտիմ, թէ ի մէջ մեր գոն գոնէ քանի մի ընդհանուր շահք:
dlga_combined_political_quests:lord_pretalk.1|Հըմ... Եկայք խորհեսցուք վասն այսր յառաւել առանձինն վայրի – եւ յետոյ:
dlga_combined_political_quests:lord_pretalk.2|Հըմ... Ես արդարեւ ունիմ գաղափար, բայց այս պահանջէ ի ձէնջ, զի դուք ընդ ոչ ոքի ոչ ունիցիք հակասութիւնս: Եթէ դուք սպասիցէք որոշ ժամանակ, ոչ մտանելով ի վէճս ընդ այլոց ազատաց մերոյ պետութեան, թերեւս մեք կարասցուք համաձայնիլ:
dlga_lord_talk:lord_ask_resign_marshalship|Ես կամիմ թողուլ զպաշտաւն զաւրավարի:
dlga_lord_ask_resign_marshalship:lord_pretalk|Այդպէս լիցի: Ես պարտիմ գտանել զոք այլ
dlga_lord_talk:lord_ask_enter_service|{s66}, ես կամիմ առաջարկել ձեզ զիմ սուր եւ զերդումն!
dlga_lord_talk:lord_ask_enter_service.1|{s66}, ես կամիմ երդնուլ ձեզ հաւատարմութիւն եւ մարտնչել վասն ձերոյ պատուոյ:
dlga_lord_talk:lord_ask_leave_service|{s66}, ես կամէի ազատ լինել ի յերդմանէ, տուելոյ ձեզ:
dlga_lord_talk:lord_talk_preoffer|Գոյ ինձ առաջարկութիւն վասն ձեր:
dlga_lord_talk:lord_give_troops|Ես կամիմ փոխանցել ձեզ մասն իմոյ զաւրաց:
dlga_lord_give_troops:lord_pretalk|Բարի մարտիկք երբեք ոչ լինին աւելորդք: Շնորհակալ եմ:
dlga_lord_talk:lord_give_order_ask|Ես ունիմ վասն ձեր նոր առաջադրանք:
dlga_lord_talk:lord_give_suggestion_ask|Կարե՞մ ես առաջարկել ծրագիր գործողութեանց?
dlga_lord_give_order_ask:lord_give_order|Այո՞:
dlga_lord_give_suggestion_ask:lord_give_order|Ես հաճութեամբ հետեւեցայց անդ, ուր դուք զիս առաքեսջիք, {reg59?վեհափառ տէր:տէ՛ր իմ}: Սակայն, եթէ դուք պատրաստիք վարել լայնածաւալ արշաւանք, ծանուցէ՛ք զձեզ զաւրավար, զի մի՛ լիցի շփոթութիւն:
dlga_lord_give_suggestion_ask:lord_pretalk|Ներեցէ՛ք, բայց ես յոյժ վատ ճանաչեմ զձեզ, զի հետեւեցայց ձերում խրատու:
dlga_lord_give_suggestion_ask:lord_give_order.1|Այո՞:
dlga_lord_give_order:lord_give_order_answer|Հետեւեցարո՛ւք ինձ:
dlga_lord_give_order:lord_give_order_answer.1|Դուք հետեւեսջի՞ք ինձ: Ես ունիմ ծրագիր...
dlga_lord_give_order:lord_give_order_details_ask|Ուղղեցարո՛ւք ի...
dlga_lord_give_order:lord_give_order_details_ask.1|Յարձակեցարո՛ւք ի բնակավայրն...
dlga_lord_give_order:lord_give_order_details_ask.2|Պահպանեցէ՛ք զշրջակայսն...
dlga_lord_give_order:lord_give_order_assault|Միասին մեք կարեմք գրաւել զ{s11}. Բայց ելանել պարտ է անյապաղ...
dlga_lord_give_order:lord_give_order_details_ask.3|Ի վերայ մեր յարձակեցան, բայց թշնամին կարելի է դարձուցանել ի փախուստ: Ձեզ պարտ է շարժիլ առ...
dlga_lord_give_order:lord_give_order_details_ask.4|Ի վերայ մեր յարձակեցան, բայց թշնամին կարելի է դարձուցանել ի փախուստ: Ձեզ պարտ է ժողովել բանակ եւ շարժիլ առ...
dlga_lord_give_order_assault:lord_pretalk|Այս պաշարմամբ հրամայէ {s4}. Առաջարկեմ խօսիլ ընդ {reg4?նորա:նորա}.
dlga_lord_give_order_assault:lord_pretalk.1|Մեր պատրաստութիւնք տակաւին ոչ են աւարտեալ: Մեզ պակասէ {s11}.
dlga_lord_give_order_assault:close_window|Այդպէս լիցի, ի պարիսպսն!
dlga_lord_give_order:lord_give_order_details_ask.5|Աստ գոյ ամրոց, զոր լիցի ոչ դժուարին գրաւել: Ուղղեցարո՛ւք ի...
dlga_lord_give_order:lord_give_order_details_ask.6|Աստ գան անթիւ թշնամական զաւրք: Նահանջեցէ՛ք առ...
dlga_lord_give_order:lord_give_order_stop|Առ ժամանակ ինչ դուք ինձ պիտոյ ոչ էք: Կարէք զբաղիլ ձերոց գործովք:
dlga_lord_give_order:lord_give_order_stop.1|Ձեզ այլեւս պարտ ոչ է ուղեկցել ինձ: Դուք կարէք երթալ...
dlga_lord_give_order:lord_pretalk|Փոյթ ոչ է:
dlga_lord_give_order_details_ask:lord_pretalk|Ես ոչ կացից սեղմեալ զպոչն եւ ոչ փախեայց յամաւթով ի թշնամւոյն, նոյնիսկ ոչ տեսեալ զնորա մարտիկս:
